rank,title,rating,show_type,episodes,run_time,member_count
1a,Fullmetal Alchemist: Brotherhood,9.10,TV,64,Apr 2009 - Jul 2010,3189241
2a,Steins;Gate,9.07,TV,24,Apr 2011 - Sep 2011,2450766
3a,Bleach: Sennen Kessen-hen,9.06,TV,13,Oct 2022 - Dec 2022,453838
4a,Gintama°,9.06,TV,51,Apr 2015 - Mar 2016,598754
5a,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.05,TV,13,Apr 2022 - Jun 2022,830703
6a,Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,Apr 2019 - Jul 2019,2116345
7a,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.04,Special,2,Mar 2023 - 2023,447707
8a,Gintama',9.04,TV,51,Apr 2011 - Mar 2012,528331
9a,Gintama: The Final,9.04,Movie,1,Jan 2021 - Jan 2021,134267
10a,Hunter x Hunter (2011),9.04,TV,148,Oct 2011 - Sep 2014,2670226
11a,Gintama': Enchousen,9.03,TV,13,Oct 2012 - Mar 2013,310530
12a,Ginga Eiyuu Densetsu,9.02,OVA,110,Jan 1988 - Mar 1997,306558
13a,Fruits Basket: The Final,9.00,TV,13,Apr 2021 - Jun 2021,434923
14a,Gintama.,8.98,TV,12,Jan 2017 - Mar 2017,299182
15a,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.97,TV,13,Jul 2023 -,120904
16a,Gintama,8.94,TV,201,Apr 2006 - Mar 2010,1026592
17a,Koe no Katachi,8.94,Movie,1,Sep 2016 - Sep 2016,2204335
18a,3-gatsu no Lion 2nd Season,8.93,TV,22,Oct 2017 - Mar 2018,385120
19a,Clannad: After Story,8.93,TV,24,Oct 2008 - Mar 2009,1153384
20a,Code Geass: Hangyaku no Lelouch R2,8.91,TV,25,Apr 2008 - Sep 2008,1705942
21a,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie,1,Jul 2013 - Jul 2013,230341
22a,Violet Evergarden Movie,8.90,Movie,1,Sep 2020 - Sep 2020,552790
23a,Owarimonogatari 2nd Season,8.88,TV,7,Aug 2017 - Aug 2017,381941
24a,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,Jul 2018 - Oct 2018,186885
25a,"""Oshi no Ko""",8.87,TV,11,Apr 2023 - Jun 2023,576771
26a,Monster,8.87,TV,74,Apr 2004 - Sep 2005,1021609
27a,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.86,Movie,1,Dec 2022 - Dec 2022,189047
28a,Kimi no Na wa.,8.85,Movie,1,Aug 2016 - Aug 2016,2609313
29a,Vinland Saga Season 2,8.84,TV,24,Jan 2023 - Jun 2023,455847
30a,Bocchi the Rock!,8.84,TV,12,Oct 2022 - Dec 2022,438028
31a,Gintama.: Shirogane no Tamashii-hen,8.81,TV,12,Jan 2018 - Mar 2018,201284
32a,Kingdom 3rd Season,8.81,TV,26,Apr 2020 - Oct 2021,91853
33a,Mob Psycho 100 II,8.80,TV,13,Jan 2019 - Apr 2019,1440449
34a,Shingeki no Kyojin: The Final Season,8.80,TV,16,Dec 2020 - Mar 2021,1857786
35a,Kimetsu no Yaiba: Yuukaku-hen,8.79,TV,11,Dec 2021 - Feb 2022,1264025
36a,Kizumonogatari III: Reiketsu-hen,8.79,Movie,1,Jan 2017 - Jan 2017,441747
37a,Sen to Chihiro no Kamikakushi,8.78,Movie,1,Jul 2001 - Jul 2001,1768074
38a,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV,10,Oct 2016 - Dec 2016,1146320
39a,Monogatari Series: Second Season,8.77,TV,26,Jul 2013 - Dec 2013,649361
40a,Shingeki no Kyojin: The Final Season Part 2,8.77,TV,12,Jan 2022 - Apr 2022,1145102
41a,Hajime no Ippo,8.76,TV,75,Oct 2000 - Mar 2002,550301
42a,Cowboy Bebop,8.75,TV,26,Apr 1998 - Apr 1999,1778748
43a,Kingdom 4th Season,8.74,TV,26,Apr 2022 - Oct 2022,54146
44a,Vinland Saga,8.74,TV,24,Jul 2019 - Dec 2019,1372634
45a,Mushishi Zoku Shou 2nd Season,8.73,TV,10,Oct 2014 - Dec 2014,255507
