rank,title,rating,show_type,votes,episodes
1b,Fullmetal Alchemist,8.72,TV,13518,51
2b,Death Note,8.86,TV,13099,37
3b,Cowboy Bebop,8.93,TV,12432,26
4b,Spirited Away,8.96,movie,10699,
5b,Princess Mononoke,8.92,movie,9963,
6b,(The) Melancholy of Haruhi Suzumiya,8.56,TV,10223,14
7b,Elfen Lied,8.29,TV,10528,13
8b,Neon Genesis Evangelion,8.32,TV,10364,26
9b,Code Geass: Lelouch of the Rebellion,8.85,TV,9303,25
10b,Bleach,7.94,TV,9238,366
11b,Code Geass: Lelouch of the Rebellion R2,9.01,TV,7988,25
12b,FLCL,8.18,OAV,8759,6
13b,Naruto,7.52,TV,9383,220
14b,Samurai Champloo,8.53,TV,8020,26
15b,Trigun,8.37,TV,8055,26
16b,Gurren Lagann,8.73,TV,7069,27
17b,Howl's Moving Castle,8.62,movie,6935,
18b,Rurouni Kenshin: Trust & Betrayal,8.91,OAV,6704,4
19b,Full Metal Panic!,8.12,TV,7275,24
20b,Ouran High School Host Club,8.52,TV,6774,26
21b,Fullmetal Alchemist: Brotherhood,9.09,TV,6089,64
22b,Clannad,8.58,TV,6310,24
23b,Fruits Basket,8.13,TV 1/2001,6401,26
24b,Akira,7.96,movie,6517,
25b,Cowboy Bebop: The Movie,8.44,,6066,
26b,Chobits,7.63,TV,6693,26
27b,Full Metal Panic? Fumoffu,8.40,TV,6072,12
28b,5 Centimeters Per Second,8.67,movie,5847,
29b,Rurouni Kenshin,8.36,TV 1996,5998,95
30b,(The) Girl Who Leapt Through Time,8.66,movie,5591,
31b,Ghost in the Shell,8.23,movie,5873,
32b,Clannad After Story,8.85,TV,5380,25
33b,Hellsing,7.64,TV,6185,13
34b,Final Fantasy VII: Advent Children,8.00,movie,5894,
35b,Azumanga Daioh,8.38,TV,5596,26
36b,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,7.99,,5691,
37b,Ghost in the Shell: Stand Alone Complex,8.51,TV,5242,26
38b,Nausicaä of the Valley of the Wind,8.68,movie,5140,
39b,Mushi-Shi,8.80,TV,5052,26
40b,Darker than Black,8.30,TV,5323,26
41b,Steins;Gate,9.08,TV,4864,24
