rank,title,rating,show_type,votes,episodes
1a,Fullmetal Alchemist: Brotherhood,9.10,TV,3189241,64
2a,Steins;Gate,9.07,TV,2450766,24
3a,Bleach: Sennen Kessen-hen,9.06,TV,453838,13
4a,Gintama°,9.06,TV,598754,51
5a,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.05,TV,830703,13
6a,Shingeki no Kyojin Season 3 Part 2,9.05,TV,2116345,10
7a,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.04,Special,447707,2
8a,Gintama',9.04,TV,528331,51
9a,Gintama: The Final,9.04,Movie,134267,1
10a,Hunter x Hunter (2011),9.04,TV,2670226,148
11a,Gintama': Enchousen,9.03,TV,310530,13
12a,Ginga Eiyuu Densetsu,9.02,OVA,306558,110
13a,Fruits Basket: The Final,9.00,TV,434923,13
14a,Gintama.,8.98,TV,299182,12
15a,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.97,TV,120904,13
16a,Gintama,8.94,TV,1026592,201
17a,Koe no Katachi,8.94,Movie,2204335,1
18a,3-gatsu no Lion 2nd Season,8.93,TV,385120,22
19a,Clannad: After Story,8.93,TV,1153384,24
20a,Code Geass: Hangyaku no Lelouch R2,8.91,TV,1705942,25
21a,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie,230341,1
22a,Violet Evergarden Movie,8.90,Movie,552790,1
23a,Owarimonogatari 2nd Season,8.88,TV,381941,7
24a,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,186885,14
25a,"""Oshi no Ko""",8.87,TV,576771,11
26a,Monster,8.87,TV,1021609,74
27a,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.86,Movie,189047,1
28a,Kimi no Na wa.,8.85,Movie,2609313,1
29a,Vinland Saga Season 2,8.84,TV,455847,24
30a,Bocchi the Rock!,8.84,TV,438028,12
31a,Gintama.: Shirogane no Tamashii-hen,8.81,TV,201284,12
32a,Kingdom 3rd Season,8.81,TV,91853,26
33a,Mob Psycho 100 II,8.80,TV,1440449,13
34a,Shingeki no Kyojin: The Final Season,8.80,TV,1857786,16
35a,Kimetsu no Yaiba: Yuukaku-hen,8.79,TV,1264025,11
36a,Kizumonogatari III: Reiketsu-hen,8.79,Movie,441747,1
37a,Sen to Chihiro no Kamikakushi,8.78,Movie,1768074,1
38a,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV,1146320,10
39a,Monogatari Series: Second Season,8.77,TV,649361,26
40a,Shingeki no Kyojin: The Final Season Part 2,8.77,TV,1145102,12
41a,Hajime no Ippo,8.76,TV,550301,75
42a,Cowboy Bebop,8.75,TV,1778748,26
43a,Kingdom 4th Season,8.74,TV,54146,26
44a,Vinland Saga,8.74,TV,1372634,24
45a,Mushishi Zoku Shou 2nd Season,8.73,TV,255507,10
46a,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.73,TV,181151,12
47a,Mob Psycho 100 III,8.72,TV,579621,12
48a,Shiguang Dailiren,8.72,ONA,301986,11
49a,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA,269337,4
50a,86 Part 2,8.71,TV,437519,12
51a,Ashita no Joe 2,8.71,TV,48036,47
52a,Code Geass: Hangyaku no Lelouch,8.70,TV,2159531,25
53a,Mushishi Zoku Shou,8.70,TV,289191,10
54a,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.70,TV,797528,12
55a,Odd Taxi,8.69,TV,393040,13
56a,One Piece,8.69,TV,2183719,?
57a,Great Teacher Onizuka,8.69,TV,791202,43
58a,The First Slam Dunk,8.69,Movie,20621,1
59a,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.68,Movie,325641,1
60a,Jujutsu Kaisen 2nd Season,8.67,TV,403300,23
61a,Mononoke Hime,8.67,Movie,1195344,1
62a,Violet Evergarden,8.67,TV,1685079,13
63a,Hajime no Ippo: New Challenger,8.66,TV,269141,26
64a,Howl no Ugoku Shiro,8.66,Movie,1260234,1
65a,Made in Abyss,8.66,TV,1301065,13
66a,Made in Abyss: Retsujitsu no Ougonkyou,8.66,TV,389724,12
67a,Mushishi,8.66,TV,796587,26
68a,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.66,TV,262406,12
69a,Shigatsu wa Kimi no Uso,8.65,TV,2119878,22
70a,Natsume Yuujinchou Shi,8.64,TV,237059,13
71a,Jujutsu Kaisen,8.64,TV,2273856,24
72a,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,TV,1265462,12
73a,Haikyuu!! Second Season,8.63,TV,1365973,25
74a,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.63,ONA,154174,14
75a,Tengen Toppa Gurren Lagann,8.63,TV,1552554,27
76a,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63,Movie,426299,1
77a,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.62,Movie,1414621,1
78a,Natsume Yuujinchou Roku,8.62,TV,178522,11
79a,Ping Pong the Animation,8.62,TV,376202,11
80a,Shingeki no Kyojin Season 3,8.62,TV,2223912,12
81a,Death Note,8.62,TV,3728067,37
82a,Cyberpunk: Edgerunners,8.61,ONA,595022,10
83a,Spy x Family,8.61,TV,1365260,12
