rank_id,title,show_type,rating,votes,runtime_minutes,episodes
1b,Fullmetal Alchemist,TV,8.72,13518,24,51
2b,Death Note,TV,8.86,13099,23,37
3b,Cowboy Bebop,TV,8.93,12432,25,26
4b,Spirited Away,movie,8.96,10699,125,
5b,Princess Mononoke,movie,8.92,9963,133,
6b,,TV,8.56,10223,24,14
7b,Elfen Lied,TV,8.29,10528,25,13
8b,Neon Genesis Evangelion,TV,8.32,10364,25,26
9b,Code Geass: Lelouch of the Rebellion,TV,8.85,9303,24,25
10b,Bleach,TV,7.94,9238,23,366
11b,Code Geass: Lelouch of the Rebellion R2,TV,9.01,7988,half,25
12b,FLCL,OAV,8.18,8759,half,6
13b,Naruto,TV,7.52,9383,23,220
14b,Samurai Champloo,TV,8.53,8020,23,26
15b,Trigun,TV,8.37,8055,half,26
16b,Gurren Lagann,TV,8.73,7069,25,27
17b,Howl's Moving Castle,movie,8.62,6935,118,
18b,Rurouni Kenshin: Trust & Betrayal,OAV,8.91,6704,half,4
19b,Full Metal Panic!,TV,8.12,7275,23,24
20b,Ouran High School Host Club,TV,8.52,6774,24,26
21b,Fullmetal Alchemist: Brotherhood,TV,9.09,6089,24,64
22b,Clannad,TV,8.58,6310,25,24
23b,Fruits Basket,TV 1/2001,8.13,6401,24,26
24b,Akira,movie,7.96,6517,124,
25b,Cowboy Bebop: The Movie,,8.44,6066,120,
26b,Chobits,TV,7.63,6693,26,26
27b,Full Metal Panic? Fumoffu,TV,8.40,6072,24,12
28b,5 Centimeters Per Second,movie,8.67,5847,62,
29b,Rurouni Kenshin,TV 1996,8.36,5998,25,95
30b,,movie,8.66,5591,98,
31b,Ghost in the Shell,movie,8.23,5873,83,
32b,Clannad After Story,TV,8.85,5380,half,25
33b,Hellsing,TV,7.64,6185,23,13
34b,Final Fantasy VII: Advent Children,movie,8.00,5894,101,
35b,Azumanga Daioh,TV,8.38,5596,half,26
36b,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,,7.99,5691,105,
37b,Ghost in the Shell: Stand Alone Complex,TV,8.51,5242,25,26
38b,Nausicaä of the Valley of the Wind,movie,8.68,5140,116,
39b,Mushi-Shi,TV,8.80,5052,25,26
40b,Darker than Black,TV,8.30,5323,24,26
41b,Steins;Gate,TV,9.08,4864,half,24
42b,Fate/stay night,TV,7.51,5859,half,24
43b,Claymore,TV,8.17,5336,23,26
44b,Toradora!,TV,8.47,5074,24,25
45b,Inuyasha,TV,7.29,5878,25,167
46b,Castle in the Sky,movie,8.53,4967,124,
47b,Full Metal Panic! The Second Raid,TV,8.42,5024,24,13
48b,Black Lagoon,TV,8.29,5079,24,12
49b,Blood+,TV,7.98,5225,half,50
50b,Angel Beats!,TV,8.53,4876,24,13
51b,Neon Genesis Evangelion: The End of Evangelion,movie,8.33,4970,97,
52b,My Neighbor Totoro,movie,8.65,4778,86,
53b,Grave of the Fireflies,movie,8.69,4661,88,
54b,Dragon Ball Z,TV,7.17,5639,half,291
55b,Eureka Seven,TV,8.30,4764,25,50
56b,Air,TV,7.95,4906,24,13
57b,Berserk,TV 1997,8.45,4574,24,25
58b,Love Hina,TV,7.40,5218,half,25
59b,Last Exile,TV,8.33,4546,23,26
60b,When They Cry - Higurashi,TV,8.09,4633,24,26
61b,GTO: Great Teacher Onizuka,TV,8.66,4272,27,43
62b,Baccano!,TV,8.66,4267,half,16
63b,Wolf's Rain,TV,7.94,4522,half,26
64b,Welcome to the NHK,TV,8.50,4191,24,24
65b,Sword Art Online,TV,7.34,4829,24,25
66b,Serial Experiments Lain,TV,7.89,4484,half,13
67b,Shakugan no Shana,TV,8.01,4390,25,24
68b,Haibane Renmei,TV,8.47,4114,half,13
69b,One Piece,TV,8.15,4261,25,
70b,Attack on Titan,TV,8.33,4147,24,25
71b,Kiki's Delivery Service,movie,8.28,4142,103,
72b,Naruto Shippūden,TV,7.89,4338,23,500
73b,,TV,8.08,4170,25,26
74b,Samurai 7,TV,8.16,4031,25,26
75b,Soul Eater,TV,8.11,3993,25,51
76b,Ergo Proxy,TV,7.99,4043,half,23
77b,Black Lagoon: The Second Barrage,TV,8.44,3819,24,12
78b,Spice and Wolf,TV,8.37,3848,24,13
79b,School Rumble,TV,8.25,3899,23,26
80b,Lucky Star,TV,8.00,3997,24,24
81b,Eden of the East,TV,8.37,3806,22,11
82b,Kanon,TV 2/2006,8.63,3666,24,24
83b,Gungrave,TV,8.35,3764,25,26
84b,Puella Magi Madoka Magica,TV,8.61,3614,24,12
