rank,title,rating,age_rating,run_time,year_range,votes
1c,Demon Slayer: Kimetsu no Yaiba,8.7,TV-14,24 min,(2019– ),125483
2c,Attack on Titan,9.1,TV-MA,24 min,(2013–2023),417726
3c,Vinland Saga,8.8,TV-MA,24 min,(2019– ),54215
4c,Black Clover,8.3,TV-PG,24 min,(2017–2021),28783
5c,Heavenly Delusion,8.1,TV-MA,24 min,(2023– ),2347
6c,Jujutsu Kaisen,8.5,TV-MA,24 min,(2020– ),74925
7c,Naruto,8.4,TV-PG,24 min,(2002–2007),112985
8c,My Hero Academia,8.3,TV-14,24 min,(2016– ),70741
9c,Hunter x Hunter,9.0,TV-14,24 min,(2011–2014),113761
10c,Naruto: Shippuden,8.7,TV-PG,24 min,(2007–2017),139475
11c,Kill Bill: Vol. 1,8.2,R,111 min,(2003),1146100
12c,Death Note,8.9,TV-14,23 min,(2006–2007),347471
13c,Chainsaw Man,8.5,TV-MA,25 min,(2022– ),39532
14c,Fullmetal Alchemist: Brotherhood,9.1,TV-14,24 min,(2009–2010),180878
15c,Bleach,8.2,TV-14,24 min,(2004–2012),61491
16c,JoJo's Bizarre Adventure,8.5,TV-14,24 min,(2012– ),29098
17c,Monster,8.7,TV-14,24 min,(2004–2005),36676
18c,One Punch Man,8.7,TV-PG,24 min,(2015–2019),172402
19c,Bleach: Thousand-Year Blood War,9.1,TV-MA,24 min,(2022– ),20548
20c,Devilman: Crybaby,7.6,TV-MA,25 min,(2018),24681
21c,Dragon Ball Z,8.8,TV-PG,24 min,(1989–1996),138096
22c,Cyberpunk: Edgerunners,8.3,TV-MA,24 min,(2022),61531
23c,Tokyo Revengers,7.9,TV-14,24 min,(2021– ),21067
24c,Berserk,8.7,TV-MA,23 min,(1997–1998),45138
25c,Dr. Stone,8.1,TV-14,24 min,(2019– ),23917
26c,Cowboy Bebop,8.9,TV-14,24 min,(1998–1999),128173
27c,Spy x Family,8.4,TV-14,24 min,(2022– ),30410
28c,Neon Genesis Evangelion,8.5,TV-MA,24 min,(1995–1996),76744
29c,Mushoku Tensei: Jobless Reincarnation,8.4,TV-14,24 min,(2021– ),14474
30c,Gintama,8.7,TV-14,25 min,(2005–2021),13135
31c,Perfect Blue,8.0,R,81 min,(1997),85008
32c,Boruto: Naruto Next Generations,6.6,TV-14,23 min,(2017– ),24602
33c,Knights of the Zodiac,8.5,TV-PG,24 min,(1986–1989),10678
34c,Demon Slayer the Movie: Mugen Train,8.2,R,117 min,(2020),65750
35c,Kill Bill: Vol. 2,8.0,R,137 min,(2004),777095
36c,Haikyu!!,8.7,TV-14,24 min,(2014–2020),29914
37c,Steins;Gate,8.8,TV-14,24 min,(2011–2015),67387
38c,Mob Psycho 100,8.6,TV-14,24 min,(2016–2022),38688
39c,A Silent Voice: The Movie,8.1,Not Rated,130 min,(2016),91117
40c,Code Geass,8.7,TV-14,24 min,(2006–2008),73598
41c,The Seven Deadly Sins: Signs of Holy War,7.8,TV-14,24 min,(2014–2021),35090
42c,Ghost in the Shell,7.9,TV-MA,83 min,(1995),149377
43c,Tokyo Ghoul,7.7,TV-MA,24 min,(2014),58902
44c,Sword Art Online,7.5,TV-14,24 min,(2012– ),49043
45c,Fairy Tail,7.9,TV-14,24 min,(2009–2019),26284
46c,My Dress-Up Darling,8.0,TV-14,24 min,(2022– ),11058
47c,The Witcher: Nightmare of the Wolf,7.2,TV-MA,83 min,(2021),47556
48c,Erased,8.5,TV-14,264 min,(2016– ),52688
49c,The Promised Neverland,8.2,TV-14,23 min,(2019–2021),42401
50c,How Do You Live?,,TV-14,125 min,(2023),
51c,Kaguya-sama: Love is War,8.5,TV-14,24 min,(2019– ),17009
52c,Weathering with You,7.5,PG-13,112 min,(2019),48849
53c,Nausicaä of the Valley of the Wind,8.0,PG,117 min,(1984),174875
54c,"Re: Zero, Starting Life in Another World",8.1,TV-14,24 min,(2016– ),21220
55c,High School DxD,7.6,TV-MA,23 min,(2012–2018),12193
56c,Fruits Basket,8.6,TV-14,24 min,(2019–2021),7626
57c,World's End Harem,5.9,TV-MA,24 min,(2021–2022),1393
58c,Neon Genesis Evangelion: The End of Evangelion,8.1,TV-MA,87 min,(1997),59196
59c,Paprika,7.7,R,90 min,(2006),88449
60c,Why Raeliana Ended Up at the Duke's Mansion,7.4,,,(2023– ),366
61c,The Wind Rises,7.7,PG-13,126 min,(2013),91136
62c,Parasyte: The Maxim,8.3,TV-MA,22 min,(2014–2015),43018
63c,Record of Ragnarok,6.4,TV-14,24 min,(2021– ),7266
64c,Classroom of the Elite,7.7,TV-14,24 min,(2017– ),10007
65c,Highschool of the Dead,7.2,TV-MA,24 min,(2010),14420
66c,Jujutsu Kaisen 0,7.8,PG-13,112 min,(2021),24880
67c,Goblin Slayer,7.5,TV-MA,30 min,(2018– ),8903
68c,Overlord,7.7,TV-MA,30 min,(2015– ),11979
69c,Fire Force,7.6,TV-14,23 min,(2019– ),9241
70c,Violet Evergarden,8.4,TV-14,24 min,(2018),25928
71c,Psycho-Pass,8.2,TV-MA,25 min,(2012– ),20708
72c,Ultraman,6.8,TV-14,25 min,(2019–2023),2428
73c,Akame ga Kill!,7.8,TV-MA,24 min,(2014),26866
74c,Redo of Healer,6.4,TV-MA,24 min,(2021– ),4061
75c,Dororo,8.3,Not Rated,30 min,(2019),16699
76c,Is It Wrong to Try to Pick Up Girls in a Dungeon?,7.4,TV-14,24 min,(2015– ),9349
77c,Dead Mount Death Play,6.9,,,(2023– ),421
78c,Whisper of the Heart,7.8,G,111 min,(1995),67220
79c,Ranking of Kings,8.5,TV-14,23 min,(2021– ),10585
80c,Konosuba: God's Blessing on This Wonderful World!,7.8,TV-14,24 min,(2016–2023),13016
81c,Belle,7.1,PG,121 min,(2021),14890
82c,Food Wars,8.1,TV-14,24 min,(2015–2020),11267
83c,I Want to Eat Your Pancreas,8.0,Not Rated,109 min,(2018),20543
84c,The Cat Returns,7.1,G,75 min,(2002),60247
85c,Serial Experiments Lain,8.1,TV-14,316 min,(1998),15504
86c,Trigun Stampede,7.4,TV-14,24 min,(2023– ),1285
87c,The Disastrous Life of Saiki K.,8.3,TV-14,24 min,(2016–2018),9130
88c,The Garden of Words,7.4,TV-14,46 min,(2013),48769
89c,Hellsing Ultimate,8.2,Not Rated,50 min,(2006–2012),24994
90c,Elfen Lied,7.9,TV-MA,24 min,(2004),35144
91c,Black Lagoon,7.9,TV-MA,25 min,(2006),16491
92c,Rent-a-Girlfriend,7.1,TV-14,23 min,(2020– ),7010
93c,Porco Rosso,7.7,PG,94 min,(1992),94915
94c,Darling in the Franxx,7.3,TV-14,24 min,(2018),12138
95c,Legend of the Galactic Heroes,9.0,TV-MA,25 min,(1988–1997),4054
96c,Dragon Ball Super: Broly,7.7,PG,100 min,(2018),29715
97c,Dota: Dragon's Blood,7.8,TV-MA,25 min,(2021– ),20627
98c,When Marnie Was There,7.7,PG,103 min,(2014),44091
99c,Banana Fish,8.2,TV-MA,22 min,(2018),7194
100c,Gurren Lagann,8.3,TV-14,24 min,(2007),19649
101c,From Up on Poppy Hill,7.4,PG,91 min,(2011),47777
102c,My Teen Romantic Comedy SNAFU,7.9,TV-14,24 min,(2013–2023),7840
103c,Skip and Loafer,7.9,,23 min,(2023– ),615
104c,The Tale of The Princess Kaguya,8.0,PG,137 min,(2013),50113
105c,Kingdom,8.5,TV-MA,25 min,(2012– ),2597
106c,Death Parade,7.9,TV-MA,24 min,(2015),18247
107c,Tales from Earthsea,6.3,PG-13,115 min,(2006),41927
108c,The Rising of the Shield Hero,7.9,TV-14,24 min,(2019– ),15364
109c,Ninja Scroll,7.8,Not Rated,94 min,(1993),39091
110c,KILL la KILL,7.9,TV-14,25 min,(2013–2014),15649
111c,Blade Runner: Black Lotus,6.3,TV-14,,(2021– ),3057
112c,"Bastard!! Heavy Metal, Dark Fantasy",6.5,TV-MA,25 min,(2022– ),2042
113c,Redline,7.5,Not Rated,102 min,(2009),15739
114c,Kakegurui,7.1,TV-14,24 min,(2017– ),11402
115c,Vampire Hunter D: Bloodlust,7.6,R,103 min,(2000),33653
116c,5 Centimeters per Second,7.5,TV-PG,63 min,(2007),61068
117c,How NOT to Summon a Demon Lord,7.0,TV-MA,24 min,(2018– ),4089
118c,Belladonna of Sadness,7.3,Unrated,86 min,(1973),7043
119c,A Whisker Away,6.7,TV-PG,104 min,(2020),12182
120c,Only Yesterday,7.6,PG,119 min,(1991),34754
121c,Nier: Automata Ver1.1a,7.4,TV-14,23 min,(2023– ),864
122c,Memories,7.5,PG-13,113 min,(1995),19915
123c,The Future Diary,7.5,TV-MA,25 min,(2011–2013),18764
124c,Prison School,7.6,TV-MA,24 min,(2015–2016),6665
125c,Call of the Night,7.4,TV-14,23 min,(2022– ),2336
